IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.99.169,2052,2052,false,SIN,Asia Pacific,Singapore,252,3.96
47.237.121.38,2095,2095,false,SIN,Asia Pacific,Singapore,254,3.95
47.245.86.230,8080,8080,false,SIN,Asia Pacific,Singapore,273,3.93
8.219.50.180,2083,2083,true,SIN,Asia Pacific,Singapore,265,3.92
47.236.144.48,2086,2086,false,SIN,Asia Pacific,Singapore,261,3.91
47.237.14.220,2086,2086,false,SIN,Asia Pacific,Singapore,258,3.90
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,252,3.89
47.236.174.206,2095,2095,false,SIN,Asia Pacific,Singapore,267,3.88
8.219.60.54,2083,2083,true,SIN,Asia Pacific,Singapore,252,3.87
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,269,3.83
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,270,3.82
47.236.237.90,2052,2052,false,SIN,Asia Pacific,Singapore,255,3.82
8.219.1.92,2082,2082,false,SIN,Asia Pacific,Singapore,267,3.79
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,19,3.76
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,252,3.75
8.222.187.4,2082,2082,false,SIN,Asia Pacific,Singapore,269,3.74
8.222.237.131,8080,8080,false,SIN,Asia Pacific,Singapore,259,3.73
47.236.17.193,2053,2053,true,SIN,Asia Pacific,Singapore,249,3.72
47.245.105.224,2095,2095,false,SIN,Asia Pacific,Singapore,259,3.71
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,271,3.68
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,20,3.62
47.236.121.23,2052,2052,false,SIN,Asia Pacific,Singapore,262,3.62
47.236.5.223,2052,2052,false,SIN,Asia Pacific,Singapore,265,3.59
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,251,3.58
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,259,3.57
8.219.191.110,8080,8080,false,SIN,Asia Pacific,Singapore,264,3.55
47.237.10.1,2086,2086,false,SIN,Asia Pacific,Singapore,271,3.55
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,751,3.54
8.219.200.145,2095,2095,false,SIN,Asia Pacific,Singapore,268,3.54
47.236.253.41,2052,2052,false,SIN,Asia Pacific,Singapore,248,3.54
8.219.161.129,2086,2086,false,SIN,Asia Pacific,Singapore,258,3.52
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,260,3.51
47.237.11.182,2095,2095,false,SIN,Asia Pacific,Singapore,254,3.49
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,16,3.49
8.222.134.170,2096,2096,true,SIN,Asia Pacific,Singapore,264,3.47
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,13,3.45
47.236.237.90,8080,8080,false,SIN,Asia Pacific,Singapore,261,3.44
47.237.86.185,2086,2086,false,SIN,Asia Pacific,Singapore,276,3.42
8.219.111.175,2082,2082,false,SIN,Asia Pacific,Singapore,260,3.41
8.222.179.231,2082,2082,false,SIN,Asia Pacific,Singapore,252,3.41
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,256,3.35
47.237.100.206,8880,8880,false,SIN,Asia Pacific,Singapore,252,3.34
47.236.169.15,8080,8080,false,SIN,Asia Pacific,Singapore,263,3.33
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,277,3.33
